EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,OverTime,DistanceFromHome,YearsAtCompany,PerformanceRating,WorkLifeBalance,Attrition
EMP00001,58,Male,HR,Senior Manager,15145,No,11,17,3,1,No
EMP00002,50,Female,Sales,Manager,10135,Yes,34,15,3,1,Yes
EMP00003,40,Female,Finance,Analyst,6571,No,13,4,3,1,No
EMP00004,23,Female,Sales,Executive,4427,No,41,0,4,3,No
EMP00005,32,Female,IT,Developer,11063,No,14,1,4,3,No
EMP00006,29,Male,Marketing,Executive,5983,No,21,2,3,3,No
EMP00007,30,Male,Finance,Analyst,4522,No,20,0,3,4,No
EMP00008,29,Male,IT,Developer,6169,Yes,28,1,3,3,No
EMP00009,36,Male,Sales,Executive,6203,No,22,5,3,3,No
EMP00010,28,Male,Finance,Analyst,7690,Yes,5,7,3,2,Yes
EMP00011,23,Female,Marketing,Executive,4369,No,24,0,3,4,No
EMP00012,22,Male,HR,Analyst,4538,No,4,1,2,3,No
EMP00013,38,Male,HR,Specialist,7692,No,8,3,3,3,No
EMP00014,40,Female,HR,Specialist,6763,No,12,4,3,3,No
EMP00015,38,Female,Sales,Executive,6263,No,32,1,2,4,No
EMP00016,41,Male,Finance,Analyst,7403,No,7,1,2,4,No
EMP00017,32,Male,HR,Executive,7236,No,10,0,3,4,No
EMP00018,37,Female,Sales,Executive,7259,Yes,19,3,3,3,No
EMP00019,42,Female,IT,Developer,5782,Yes,23,5,1,2,Yes
EMP00020,32,Male,IT,Specialist,6649,No,13,0,3,3,Yes
EMP00021,27,Male,Sales,Executive,7229,No,17,1,3,3,No
EMP00022,25,Female,HR,Analyst,5208,No,12,0,4,3,No
EMP00023,50,Male,IT,Manager,10518,No,13,13,3,3,No
EMP00024,25,Male,IT,Developer,9498,No,15,0,3,4,No
EMP00025,39,Female,Marketing,Specialist,6889,Yes,18,0,2,1,Yes
EMP00026,35,Female,Finance,Analyst,5992,No,15,3,3,1,No
EMP00027,38,Male,Sales,Executive,5828,No,10,0,3,2,Yes
